Date,Area,DataSeries,OBS_Value
1998-04-01,IT,Lead_zinc_tin_prod,295.3
1998-03-01,IT,Lead_zinc_tin_prod,300.5
1998-02-01,IT,Lead_zinc_tin_prod,259.0
1998-01-01,IT,Lead_zinc_tin_prod,277.2
1997-12-01,IT,Lead_zinc_tin_prod,301.9
1997-11-01,IT,Lead_zinc_tin_prod,287.4
1997-10-01,IT,Lead_zinc_tin_prod,317.9
1997-09-01,IT,Lead_zinc_tin_prod,321.7
1997-08-01,IT,Lead_zinc_tin_prod,203.0
1997-07-01,IT,Lead_zinc_tin_prod,282.2
1997-06-01,IT,Lead_zinc_tin_prod,301.4
1997-05-01,IT,Lead_zinc_tin_prod,307.0
1997-04-01,IT,Lead_zinc_tin_prod,285.9
1997-03-01,IT,Lead_zinc_tin_prod,309.6
1997-02-01,IT,Lead_zinc_tin_prod,264.1
1997-01-01,IT,Lead_zinc_tin_prod,302.8
1996-12-01,IT,Lead_zinc_tin_prod,325.6
1996-11-01,IT,Lead_zinc_tin_prod,283.3
1996-10-01,IT,Lead_zinc_tin_prod,337.7
1996-09-01,IT,Lead_zinc_tin_prod,317.2
1996-08-01,IT,Lead_zinc_tin_prod,257.5
1996-07-01,IT,Lead_zinc_tin_prod,316.0
1996-06-01,IT,Lead_zinc_tin_prod,301.9
1996-05-01,IT,Lead_zinc_tin_prod,329.5
1996-04-01,IT,Lead_zinc_tin_prod,311.3
1996-03-01,IT,Lead_zinc_tin_prod,279.3
1996-02-01,IT,Lead_zinc_tin_prod,293.0
1996-01-01,IT,Lead_zinc_tin_prod,309.6
1995-12-01,IT,Lead_zinc_tin_prod,279.3
1995-11-01,IT,Lead_zinc_tin_prod,315.5
1995-10-01,IT,Lead_zinc_tin_prod,314.8
1995-09-01,IT,Lead_zinc_tin_prod,287.9
1995-08-01,IT,Lead_zinc_tin_prod,167.6
1995-07-01,IT,Lead_zinc_tin_prod,305.0
1995-06-01,IT,Lead_zinc_tin_prod,302.3
1995-05-01,IT,Lead_zinc_tin_prod,286.8
1995-04-01,IT,Lead_zinc_tin_prod,251.8
1995-03-01,IT,Lead_zinc_tin_prod,308.7
1995-02-01,IT,Lead_zinc_tin_prod,262.6
1995-01-01,IT,Lead_zinc_tin_prod,291.5
1994-12-01,IT,Lead_zinc_tin_prod,311.4
1994-11-01,IT,Lead_zinc_tin_prod,321.0
1994-10-01,IT,Lead_zinc_tin_prod,337.9
1994-09-01,IT,Lead_zinc_tin_prod,290.7
1994-08-01,IT,Lead_zinc_tin_prod,255.6
1994-07-01,IT,Lead_zinc_tin_prod,248.3
1994-06-01,IT,Lead_zinc_tin_prod,292.5
1994-05-01,IT,Lead_zinc_tin_prod,302.1
1994-04-01,IT,Lead_zinc_tin_prod,287.4
1994-03-01,IT,Lead_zinc_tin_prod,285.5
1994-02-01,IT,Lead_zinc_tin_prod,299.6
1994-01-01,IT,Lead_zinc_tin_prod,306.8
1993-12-01,IT,Lead_zinc_tin_prod,282.4
1993-11-01,IT,Lead_zinc_tin_prod,319.1
1993-10-01,IT,Lead_zinc_tin_prod,303.3
1993-09-01,IT,Lead_zinc_tin_prod,213.7
1993-08-01,IT,Lead_zinc_tin_prod,154.0
1993-07-01,IT,Lead_zinc_tin_prod,241.0
1993-06-01,IT,Lead_zinc_tin_prod,294.1
1993-05-01,IT,Lead_zinc_tin_prod,305.4
1993-04-01,IT,Lead_zinc_tin_prod,283.3
1993-03-01,IT,Lead_zinc_tin_prod,283.5
1993-02-01,IT,Lead_zinc_tin_prod,281.5
1993-01-01,IT,Lead_zinc_tin_prod,280.9
1992-12-01,IT,Lead_zinc_tin_prod,300.3
1992-11-01,IT,Lead_zinc_tin_prod,309.0
1992-10-01,IT,Lead_zinc_tin_prod,288.7
1992-09-01,IT,Lead_zinc_tin_prod,277.7
1992-08-01,IT,Lead_zinc_tin_prod,227.2
1992-07-01,IT,Lead_zinc_tin_prod,280.4
1992-06-01,IT,Lead_zinc_tin_prod,292.5
1992-05-01,IT,Lead_zinc_tin_prod,249.2
1992-04-01,IT,Lead_zinc_tin_prod,254.4
1992-03-01,IT,Lead_zinc_tin_prod,277.2
1992-02-01,IT,Lead_zinc_tin_prod,259.8
1992-01-01,IT,Lead_zinc_tin_prod,284.3
1991-12-01,IT,Lead_zinc_tin_prod,291.0
1991-11-01,IT,Lead_zinc_tin_prod,277.2
1991-10-01,IT,Lead_zinc_tin_prod,296.9
1991-09-01,IT,Lead_zinc_tin_prod,285.5
1991-08-01,IT,Lead_zinc_tin_prod,161.9
1991-07-01,IT,Lead_zinc_tin_prod,229.2
1991-06-01,IT,Lead_zinc_tin_prod,288.5
1991-05-01,IT,Lead_zinc_tin_prod,284.3
1991-04-01,IT,Lead_zinc_tin_prod,280.9
1991-03-01,IT,Lead_zinc_tin_prod,300.7
1991-02-01,IT,Lead_zinc_tin_prod,267.6
1991-01-01,IT,Lead_zinc_tin_prod,279.9
1990-12-01,IT,Lead_zinc_tin_prod,290.0
1990-11-01,IT,Lead_zinc_tin_prod,287.4
1990-10-01,IT,Lead_zinc_tin_prod,301.7
1990-09-01,IT,Lead_zinc_tin_prod,295.1
1990-08-01,IT,Lead_zinc_tin_prod,210.9
1990-07-01,IT,Lead_zinc_tin_prod,255.9
1990-06-01,IT,Lead_zinc_tin_prod,254.1
1990-05-01,IT,Lead_zinc_tin_prod,249.2
1990-04-01,IT,Lead_zinc_tin_prod,221.5
1990-03-01,IT,Lead_zinc_tin_prod,237.2
1990-02-01,IT,Lead_zinc_tin_prod,163.9
1990-01-01,IT,Lead_zinc_tin_prod,199.4
